id_municipio,ano,ideb
3501152,2005,3.9
3501152,2019,5.2
3501152,2005,4.6
3501152,2019,6.7
3501152,2005,3.9
3501152,2019,5.2
3501152,2005,4.6
3501152,2019,6.7
3501152,2019,5
3501202,2005,4.2
3501202,2019,5.9
3501202,2019,4.7
3501202,2005,
3501202,2019,
3501202,2005,4.8
3501202,2019,6.6
3501202,2005,4.2
3501202,2019,5.8
3501202,2005,4.8
3501202,2019,6.6
3501202,2019,4.7
3501301,2005,3.5
3501301,2019,
3501301,2019,4.4
3501301,2005,3.4
3501301,2019,5
3501301,2005,4.4
3501301,2019,5.9
3501301,2005,3.4
3501301,2019,5
3501301,2005,4.4
3501301,2019,5.9
3501301,2019,4.4
3501400,2005,3.9
3501400,2019,4.9
3501400,2019,
3501400,2005,4.2
3501400,2019,6.3
3501400,2005,3.9
3501400,2019,4.9
3501400,2005,4.2
3501400,2019,6.3
3501400,2019,
3501509,2005,3.5
3501509,2019,5.2
3501509,2019,
3501509,2005,4.4
3501509,2019,6.6
3501509,2005,3.5
3501509,2019,5.2
3501509,2005,4.4
3501509,2019,6.6
3501509,2019,
3501608,2005,4.5
3501608,2019,5.5
3501608,2005,5.2
3501608,2019,6.9
3501608,2019,4.9
3501608,2005,
3501608,2019,5.9
3501608,2005,
3501608,2019,6.8
3501608,2005,4.5
3501608,2019,5.6
3501608,2005,5.2
3501608,2019,6.9
3501608,2019,4.9
3501707,2005,4.4
3501707,2019,4.9
3501707,2019,4.5
3501707,2005,4.6
3501707,2019,5.3
3501707,2005,5.5
3501707,2019,6.9
3501707,2005,4.5
3501707,2019,5.2
3501707,2005,5.5
3501707,2019,6.9
3501707,2019,4.5
3501806,2005,4.9
3501806,2019,4.7
3501806,2019,4.1
3501806,2005,
3501806,2019,6
3501806,2005,5
3501806,2019,6.3
3501806,2005,4.9
3501806,2019,5.6
3501806,2005,5
3501806,2019,6.3
3501806,2019,4.1
3501905,2005,
3501905,2019,5.8
3501905,2005,4.9
3501905,2019,7.5
3501905,2019,5.3
3501905,2005,4.4
3501905,2019,6.5
3501905,2005,
3501905,2019,5.8
3501905,2005,4.6
3501905,2019,6.8
3501905,2019,5.3
3502002,2019,4.3
3502002,2005,4.2
3502002,2019,4.9
3502002,2005,4.7
3502002,2019,6.2
3502002,2005,4.2
3502002,2019,4.9
3502002,2005,4.7
3502002,2019,6.2
3502002,2019,4.3
3502101,2005,
3502101,2019,5.3
3502101,2019,4.6
3502101,2005,4.8
3502101,2019,7
3502101,2005,
3502101,2019,5.3
3502101,2005,4.8
3502101,2019,7
3502101,2019,4.6
3502200,2005,4.3
3502200,2019,5.5
3502200,2005,4.2
3502200,2019,6.3
3502200,2019,5.1
3502200,2005,5.3
3502200,2019,5.6
3502200,2005,5.1
3502200,2019,7
3502200,2005,4.8
3502200,2019,5.6
3502200,2005,4.5
3502200,2019,6.9
3502200,2019,5.1
3502309,2005,3.4
3502309,2019,
3502309,2019,4.3
3502309,2005,
3502309,2019,4.4
3502309,2005,4.2
3502309,2019,6.1
3502309,2005,3.6
3502309,2019,4.4
3502309,2005,4.2
3502309,2019,6.1
3502309,2019,4.3
3502408,2005,4.3
3502408,2019,5.6
3502408,2005,4.9
3502408,2019,
3502408,2019,4.4
3502408,2005,
3502408,2019,7.2
3502408,2005,4.3
3502408,2019,5.6
3502408,2005,4.9
3502408,2019,7.2
3502408,2019,4.4
3502507,2005,3.9
3502507,2019,
3502507,2005,4.4
3502507,2019,
3502507,2019,4.7
3502507,2005,4.3
3502507,2019,5.6
3502507,2005,4.5
3502507,2019,6.7
3502507,2005,4.1
3502507,2019,5.6
3502507,2005,4.5
3502507,2019,6.7
3502507,2019,4.7
3502606,2005,4.9
3502606,2019,5.5
3502606,2005,4.9
3502606,2019,
3502606,2019,4.1
3502606,2005,
3502606,2019,6.7
3502606,2005,4.9
3502606,2019,5.5
3502606,2005,4.9
3502606,2019,6.7
3502606,2019,4.1
3502705,2005,4.4
3502705,2019,5.5
3502705,2005,4.3
3502705,2019,6
3502705,2019,4.8
3502705,2005,5.2
3502705,2019,6.7
3502705,2005,4.4
3502705,2019,5.5
3502705,2005,4.6
3502705,2019,6.5
3502705,2019,4.8
3502754,2019,4.6
3502754,2005,3.9
3502754,2019,4.9
3502754,2005,4.2
3502754,2019,6.3
3502754,2005,3.9
3502754,2019,4.9
3502754,2005,4.2
3502754,2019,6.3
3502754,2019,4.6
3502804,2005,
3502804,2019,5.4
3502804,2005,
3502804,2019,
3502804,2019,4.6
3502804,2005,5.1
3502804,2019,6.9
3502804,2005,
3502804,2019,5.4
3502804,2005,5.2
3502804,2019,6.9
3502804,2019,4.6
3502903,2005,3.5
3502903,2019,
3502903,2019,4.3
3502903,2005,4.3
3502903,2019,5.2
3502903,2005,5.1
3502903,2019,6.5
3502903,2005,4.3
3502903,2019,5.2
3502903,2005,5.1
3502903,2019,6.5
3502903,2019,4.3
3503000,2005,4.5
3503000,2019,4.5
3503000,2019,
3503000,2005,3.9
3503000,2019,6.1
3503000,2005,4.5
3503000,2019,4.5
3503000,2005,3.9
3503000,2019,6.1
3503000,2019,
3503109,2005,
3503109,2019,5
3503109,2019,4
3503109,2005,4.6
3503109,2019,5.7
