id_municipio,ano,idhm,idhm_e,idhm_l,idhm_r
1502855,1991,0.194,0.028,0.622,0.421
1502905,1991,0.339,0.16,0.611,0.399
1502939,1991,0.299,0.087,0.569,0.54
1502954,1991,0.26,0.055,0.598,0.536
1503002,1991,0.281,0.11,0.556,0.362
1503044,1991,0.209,0.032,0.639,0.449
1503077,1991,0.183,0.026,0.556,0.423
1503093,1991,0.235,0.043,0.586,0.516
1503101,1991,0.209,0.035,0.598,0.435
1503200,1991,0.341,0.14,0.577,0.492
1503309,1991,0.322,0.11,0.656,0.463
1503408,1991,0.327,0.109,0.669,0.48
1503457,1991,0.268,0.064,0.642,0.468
1503507,1991,0.271,0.069,0.644,0.447
1503606,1991,0.355,0.126,0.634,0.562
1503705,1991,0.258,0.063,0.604,0.449
1503754,1991,0.242,0.041,0.678,0.512
1503804,1991,0.367,0.132,0.664,0.563
1503903,1991,0.313,0.117,0.586,0.448
1504000,1991,0.3,0.092,0.652,0.448
1504059,1991,0.382,0.168,0.651,0.509
1504109,1991,0.342,0.155,0.625,0.414
1504208,1991,0.401,0.187,0.613,0.561
1504307,1991,0.313,0.11,0.643,0.432
1504406,1991,0.337,0.135,0.622,0.457
1504422,1991,0.397,0.202,0.612,0.508
1504455,1991,0.293,0.074,0.636,0.532
1504505,1991,0.177,0.024,0.547,0.423
1504604,1991,0.354,0.148,0.656,0.458
1504703,1991,0.289,0.085,0.607,0.468
1504802,1991,0.349,0.136,0.664,0.47
1504901,1991,0.305,0.087,0.657,0.495
1504950,1991,0.229,0.048,0.575,0.435
1504976,1991,0.238,0.048,0.609,0.464
1505007,1991,0.361,0.172,0.577,0.476
1505031,1991,0.377,0.121,0.727,0.611
1505064,1991,0.222,0.043,0.571,0.444
1505106,1991,0.347,0.14,0.625,0.479
1505205,1991,0.268,0.063,0.643,0.476
1505304,1991,0.39,0.184,0.61,0.53
1505403,1991,0.332,0.133,0.612,0.451
1505437,1991,0.309,0.085,0.623,0.555
1505486,1991,0.257,0.066,0.597,0.431
1505494,1991,0.295,0.101,0.613,0.415
1505502,1991,0.336,0.117,0.591,0.549
1505536,1991,0.439,0.199,0.678,0.626
1505551,1991,0.23,0.04,0.632,0.479
1505601,1991,0.337,0.152,0.569,0.442
1505635,1991,0.208,0.034,0.632,0.421
